ugov_id,brand_name_tax,TwitterHandle,TwitterHandle2
12017,PNC Bank,@PNCBank,
41020,Polo Ralph Lauren,@RalphLauren,
17016,Popeyes,@PopeyesChicken,
37016,Porter Cable,@PORTERCABLE,
34017,Pottery Barn,@potterybarn,
1001194,Pounce,NOT AVAILABLE,
4020,Powerade,@POWERADE,
3034,Powerade Zero,NOT AVAILABLE,
22021,Premarin,NOT AVAILABLE,
22022,Prempro,NOT AVAILABLE,
21018,Preparation-H,NOT AVAILABLE,
38026,Priceline.com,@priceline,
38014,Princess Cruises,@PrincessCruises,
52012,Pringles,@Pringles,
25020,Progressive,@Progressive,
4026,Progresso,NOT AVAILABLE,
4021,Propel,@Propel_Water,
25021,Prudential,@Prudential,
1000356,Qdoba,@qdoba,
13021,Quaker,@Quaker,
29014,Quicken,@Quicken,
41022,Quiksilver,@Quiksilver,
40018,Ramada,@RamadaWorldwide,
37017,Ramset,NOT AVAILABLE,
8018,RCA,@RCARecords,
16021,Red Lobster,@redlobster,
16022,Red Robin,@redrobinburgers,
5019,Red Stripe,@RedStripeUSA,
53087,Redbox,@redbox,
1000649,Redd's Apple Ale,@ReddsAppleAle,
53640,Reese's,@reeses,
1001133,Reese's Puffs,@reesespuffs,
12018,Regions Bank,@askRegions,
20015,Relpax,NOT AVAILABLE,
20016,Requip,NOT AVAILABLE,
1000663,Residence Inn,@ResidenceInn,
34018,Restoration Hardware,@RestoHardware,
1000022,Revlon,@revlon,
1001067,Rhinocort,NOT AVAILABLE,
37018,Ridgid,@RIDGIDtoday,
1001444,Rimmel London,@rimmellondonUS,
1001269,Ring (Video Doorbell),@ring,
23031,Rio,@RioVegas,
35027,Rite Aid,@riteaid,
52017,Ritz,@Ritzcrackers,
40020,Ritz-Carlton,@RitzCarlton,
21019,Robitussin,@Robitussin,
1000700,RoC,NOT AVAILABLE,
1000712,Rogaine,NOT AVAILABLE,
21020,Rolaids,NOT AVAILABLE,
52007,Rold Gold,NOT AVAILABLE,
5020,Rolling Rock,@Rolling_Rock,
14018,Ross,@Ross_Stores,
38015,Royal Caribbean Cruises,@RoyalCaribbean,
16023,Ruby Tuesday's,@rubytuesday,
15018,Ruth's Chris,@RuthsChris,
52011,Sabra Hummus,@Sabra,
24019,Safeway,@Safeway,
14019,Saks,@saks,
1001383,Saks Off 5th,@SaksOFF5TH,
1000064,Sally Hansen,@SallyHansen,
1001280,Sam Edelman,@Sam_Edelman,
14020,Sam's Club,@SamsClub,
5021,Samuel Adams,@SamuelAdamsBeer,
8020,SanDisk,@SanDisk,
53066,Save A Lot,@SaveALot,
13022,Schick,NOT AVAILABLE,
1000764,Scope,NOT AVAILABLE,
53487,Scottrade,NOT AVAILABLE,
38016,Sea World,@SeaWorld,
1000414,Sealy,@Sealy,
1000009,Seamless.com,@Seamless,
14021,Sears,@Sears,
19023,Seattle's Best,@SeattlesBest,
1000507,Seventh Generation,@SeventhGen,
53047,Shape-ups,NOT AVAILABLE,
1001294,Shaw Floors,NOT AVAILABLE,
