cik,conm,TwitterHandle,TwitterHandle2
713676,PNC FINANCIAL SVCS GROUP INC,@PNCNews,@PNCBank
1041379,POPEYES LOUISIANA KITCHEN,@PopeyesChicken,
1530950,POST HOLDINGS INC,NOT AVAILABLE,
1295947,PRESTIGE CONSUMER HEALTHCARE,NOT AVAILABLE,
1113169,PRICE (T. ROWE) GROUP,@TRowePrice,
80424,PROCTER & GAMBLE CO,@ProcterGamble,
80661,PROGRESSIVE CORP-OHIO,@Progressive,
1137774,PRUDENTIAL FINANCIAL INC,@Prudential,
78239,PVH CORP,@PVHCorp,
805305,QUIKSILVER INC,@Quiksilver,
1037038,RALPH LAUREN CORP,@RalphLauren,
1171759,RED ROBIN GOURMET BURGERS,@redrobinburgers,
1281761,REGIONS FINANCIAL CORP,@RegionsNews,@askRegions
1618756,RESTAURANT BRANDS INTL INC,NOT AVAILABLE,
887921,REVLON INC  -CL A,@revlon,
1528849,RH,@RestoHardware,
84129,RITE AID CORP,@riteaid,
745732,ROSS STORES INC,@Ross_Stores,
884887,ROYAL CARIBBEAN CRUISES LTD,@RoyalCaribbean,
1306965,ROYAL DUTCH SHELL PLC,@Shell,
1211351,RTW RETAILWINDS INC,@nyandcompany,
68270,RUBY TUESDAY INC,@rubytuesday,
1324272,RUTHS HOSPITALITY GROUP INC,@RuthsChris,
86144,SAFEWAY INC,@Safeway,
812900,SAKS INC,@saks,
1000180,SANDISK CORP,@SanDisk,
1121404,SANOFI,@SanofiUS,@sanofi
316709,SCHWAB (CHARLES) CORP,@CharlesSchwab,
1310067,SEARS HOLDINGS CORP,@Sears,
1564902,SEAWORLD ENTERTAINMENT INC,@SeaWorld,
89800,SHERWIN-WILLIAMS CO,@SherwinWilliams,
895447,SHOE CARNIVAL INC,@ShoeCarnival,
832988,SIGNET JEWELERS LTD,NOT AVAILABLE,
908937,SIRIUS XM HOLDINGS INC,@SIRIUSXM,
701374,SIX FLAGS ENTERTAINMENT CORP,@SixFlags,
1065837,SKECHERS U S A INC,@SKECHERSUSA,
1423542,SKULLCANDY INC,@skullcandy,
827187,SLEEP NUMBER CORP,@sleepnumber,
91419,SMUCKER (JM) CO,@smuckers,
1564408,SNAP INC,@Snap,
57528,SNYDERS-LANCE INC,@Snyders_Hanover,
868611,SONIC CORP,@sonicdrivein,
1314727,SONOS INC,@Sonos,
313838,SONY CORP,@Sony,
92380,SOUTHWEST AIRLINES,@SouthwestAir,
1705338,SPARK NETWORKS SE,@SparkNetworks,
1498710,SPIRIT AIRLINES INC,@SpiritAirlines,
1639920,SPOTIFY TECHNOLOGY SA,@Spotify,
101830,SPRINT CORP,@sprint,@sprintnews
1575515,SPROUTS FARMERS MARKET,@sproutsfm,
6885,STAGE STORES INC,@ShopStageStores,
93556,STANLEY BLACK & DECKER INC,@StanleyBlkDeckr,
791519,STAPLES INC,@Staples,
829224,STARBUCKS CORP,@StarbucksNews,
93676,STARRETT (L.S.) CO  -CL A,@StarrettTools,
884940,STEIN MART INC,@steinmart,
750556,SUNTRUST BANKS INC,@SunTrust,
95521,SUPERVALU INC,@supervaluPR,
884217,TAILORED BRANDS INC,@TailorBrands,
1116132,TAPESTRY INC,@tapestry,
27419,TARGET CORP,@Target,
926042,TATA MOTORS LTD,@TataMotors,global
19612,TCF FINANCIAL CORP,@TCFBank,
1173431,TD AMERITRADE HOLDING CORP,@TDAmeritradePR,
1206264,TEMPUR SEALY INTL INC,@TempurPedic,
1024725,TENNECO INC,@TennecoInc,
1022705,TESCO CORP,@NaborsGlobal,
1318605,TESLA INC,@Tesla,
818686,TEVA PHARMACEUTICALS,@TevaUSA,
1289460,TEXAS ROADHOUSE INC,@texasroadhouse,
98246,TIFFANY & CO,@TiffanyAndCo,
1345111,TIM HORTONS INC,@TimHortonsUS,@TimHortons
1105705,TIME WARNER INC,@WarnerMedia,
109198,TJX COS INC (THE),@TJXCareers,
1283699,T-MOBILE US INC,@TMobileNews,@TMobile
737758,TORO CO,@TheToroCompany,
947263,TORONTO DOMINION BANK,@TDNews_US,@TDBank_US
1094517,TOYOTA MOTOR CORP,@ToyotaMotorCorp,@Toyota
795212,TRANS WORLD ENTMT CORP,@TransworldTweet,
1552033,TRANSUNION,@TransUnion,
86312,TRAVELERS COS INC,@Travelers,
1133311,TRAVELZOO,@Travelzoo,
1526520,TRIPADVISOR INC,@TripAdvisor,
1683825,TRIVAGO N.V. -ADR,@trivago,
1160858,TRUE RELIGION APPAREL INC,@TrueReligion,
92230,TRUIST FINANCIAL CORP,@TruistNews,
1308161,TWENTY-FIRST CENTURY FOX INC,@21CF,
1418091,TWITTER INC,@Twitter,
36104,U S BANCORP,@usbank,
1543151,UBER TECHNOLOGIES INC,@Uber,
1610520,UBS GROUP AG,@UBS,
1403568,ULTA BEAUTY INC,@ultabeauty,
1077771,UMPQUA HOLDINGS CORP,@umpquabank,
1336917,UNDER ARMOUR INC,@UAnews,@UnderArmour
217410,UNILEVER PLC,@Unilever,
319687,UNITED AIRLINES INC,@united,
1020859,UNITED NATURAL FOODS INC,@UNFI,
731766,UNITEDHEALTH GROUP INC,@UnitedHealthGrp,
1611547,URBAN EDGE PROPERTIES,NOT AVAILABLE,
912615,URBAN OUTFITTERS INC,@urbn,
821130,US CELLULAR CORP,@USCellular,
1035002,VALERO ENERGY CORP,@ValeroEnergy,
102741,VALSPAR CORP,@Valspar,
732712,VERIZON COMMUNICATIONS INC,@VerizonNews,@Verizon
103379,VF CORP,@VFCorp,
813828,VIACOMCBS INC,@ViacomCBS,
1403161,VISA INC,@VisaNews,@Visa
1360530,VITAMIN SHOPPE INC,@VitaminShoppe,
807707,VOXX INTERNATIONAL CORP,@VOXX_Intl,
1535929,VOYA FINANCIAL INC,@Voya,
1618921,WALGREENS BOOTS ALLIANCE INC,@WBA_Global,
104169,WALMART INC,@WalmartInc,
72971,WELLS FARGO & CO,@WellsFargo,
30697,WENDY'S CO,@Wendys,
106040,WESTERN DIGITAL CORP,@westerndigital,
1365135,WESTERN UNION CO,@WesternUnion,
863456,WET SEAL INC,@wetseal,
106640,WHIRLPOOL CORP,@WhirlpoolCorp,
865436,WHOLE FOODS MARKET INC,@WholeFoods,
719955,WILLIAMS-SONOMA INC,@WilliamsSonoma,
1636222,WINGSTOP INC,@wingstop,
107681,WINN-DIXIE STORES INC,@WinnDixie,
1576789,WIX.COM LTD,@Wix,
110471,WOLVERINE WORLD WIDE,@WolverineWW,
1361658,WYNDHAM DESTINATIONS INC,@wyndestinations,
1174922,WYNN RESORTS LTD,@WynnLasVegas,
1345016,YELP INC,@Yelp,
1041061,YUM BRANDS INC,@yumbrands,
109156,ZALE CORP,@ZalesJewelers,
109380,ZIONS BANCORPORATION NA,@ZionsBank,
